job_id,job_date,client_id,zip_code,total_price,total_cost,duration_days,payment_status,payment_method,payment_delay_days,review_score,num_services
1,2023-01-01,1,32808,545,70,1,Paid,Zelle,0,5,1
2,2023-01-01,2,32750,1855,740,2,Paid,Card,0,5,1
3,2023-01-03,1,32808,1135,455,2,Paid,Cash,0,1,1
4,2023-01-03,1,32808,365,65,1,Paid,Zelle,0,5,2
5,2023-01-03,3,32746,1180,470,2,Paid,Check,0,5,1
6,2023-01-05,3,32746,225,35,1,Paid,Card,0,4,1
7,2023-01-06,2,32750,385,65,1,Paid,Check,0,5,2
8,2023-01-08,3,32746,85,25,1,Paid,Card,1,3,1
9,2023-01-09,5,32779,1370,260,1,Paid,Cash,0,5,1
10,2023-01-09,6,34786,980,115,1,Paid,Cash,0,5,2
11,2023-01-10,7,32765,360,60,1,Paid,Card,0,4,1
12,2023-01-11,7,32765,1210,345,1,Paid,Zelle,0,5,1
13,2023-01-15,6,34786,1695,260,1,Paid,Zelle,0,5,1
14,2023-01-16,9,32825,1875,750,2,Paid,Zelle,0,5,1
15,2023-01-18,11,32825,455,100,1,Paid,Zelle,0,4,4
16,2023-01-20,6,34786,990,395,2,Paid,Check,1,4,1
17,2023-01-21,9,32825,1460,585,2,Paid,Zelle,0,5,1
18,2023-01-21,5,32779,250,40,1,Paid,Check,0,1,1
19,2023-01-22,13,32836,250,30,1,Paid,Check,0,5,1
20,2023-01-22,1,32808,1270,510,2,Paid,Zelle,0,5,1
21,2023-01-22,2,32750,2240,460,1,Paid,Card,0,5,3
22,2023-01-26,13,32836,2060,825,2,Paid,Card,0,4,1
23,2023-01-27,1,32808,260,40,1,Paid,Cash,0,5,2
24,2023-01-27,3,32746,695,200,1,Paid,Zelle,1,5,1
25,2023-01-28,14,32825,435,100,1,Paid,Zelle,0,5,2
26,2023-01-28,6,34786,225,30,1,Paid,Card,0,5,2
27,2023-01-28,13,32836,250,65,1,Paid,Card,0,5,1
28,2023-01-29,4,32836,935,190,1,Paid,Check,0,5,1
29,2023-01-30,8,32825,185,30,1,Paid,Zelle,0,5,2
30,2023-01-31,18,32789,1745,700,2,Paid,Check,0,5,1
31,2023-01-31,1,32808,125,20,1,Paid,Zelle,0,5,1
32,2023-02-02,2,32750,550,120,1,Paid,Zelle,0,5,3
33,2023-02-02,22,32707,225,55,1,Paid,Zelle,0,4,1
34,2023-02-03,12,32825,500,125,1,Paid,Zelle,0,5,1
35,2023-02-04,18,32789,105,20,1,Paid,Card,0,4,1
36,2023-02-06,24,32779,60,15,1,Paid,Check,0,5,1
37,2023-02-06,4,32836,465,60,1,Paid,Card,1,5,2
38,2023-02-07,9,32825,900,360,2,Paid,Cash,0,4,1
39,2023-02-08,25,32808,2230,375,1,Paid,Cash,1,5,3
40,2023-02-09,1,32808,225,35,1,Paid,Zelle,0,5,1
41,2023-02-09,11,32825,1810,725,2,Paid,Cash,0,5,1
42,2023-02-09,6,34786,2450,980,2,Paid,Card,0,1,1
43,2023-02-10,1,32808,2020,810,2,Paid,Zelle,0,5,1
44,2023-02-11,23,32746,295,85,1,Paid,Check,0,4,1
45,2023-02-11,29,32792,335,40,1,Paid,Check,0,5,2
46,2023-02-11,34,32746,225,25,1,Paid,Check,0,5,1
47,2023-02-13,23,32746,100,25,1,Paid,Check,0,5,1
48,2023-02-13,32,32765,70,10,1,Paid,Zelle,1,4,1
49,2023-02-14,4,32836,1690,265,1,Paid,Zelle,0,5,2
50,2023-02-14,23,32746,320,90,1,Paid,Card,0,5,2
51,2023-02-14,38,32808,2560,515,1,Paid,Zelle,0,4,2
52,2023-02-16,5,32779,250,55,1,Paid,Card,0,5,1
53,2023-02-18,35,32779,1810,515,1,Paid,Check,0,5,3
54,2023-02-18,9,32825,110,20,1,Paid,Zelle,0,4,1
55,2023-02-18,5,32779,1045,155,1,Paid,Card,0,5,2
56,2023-02-19,32,32765,1670,235,1,Paid,Zelle,0,5,2
57,2023-02-19,24,32779,100,30,1,Paid,Check,0,2,1
58,2023-02-20,43,34786,1615,350,1,Paid,Check,0,4,3
59,2023-02-20,44,32750,1695,405,1,Paid,Zelle,0,5,2
60,2023-02-20,3,32746,430,95,1,Paid,Card,0,5,3
61,2023-02-22,10,32789,485,80,1,Paid,Cash,0,5,3
62,2023-02-24,28,32836,435,55,1,Paid,Check,0,5,2
63,2023-02-24,39,32746,3315,1325,2,Paid,Card,1,4,1
64,2023-02-25,45,32779,2065,385,1,Paid,Card,0,4,4
65,2023-02-25,22,32707,330,50,1,Paid,Zelle,0,5,2
66,2023-02-25,44,32750,70,15,1,Paid,Zelle,0,4,1
67,2023-02-26,35,32779,570,140,1,Paid,Check,0,4,2
68,2023-02-26,34,32746,2215,260,1,Paid,Zelle,0,5,4
69,2023-02-27,15,32825,335,65,1,Paid,Cash,0,5,1
70,2023-02-27,6,34786,250,45,1,Paid,Card,0,5,1
71,2023-02-28,18,32789,155,15,1,Paid,Check,0,4,1
72,2023-03-01,50,32714,375,65,1,Paid,Zelle,0,5,3
73,2023-03-01,42,32779,715,160,1,Paid,Card,1,5,3
74,2023-03-02,23,32746,1035,415,2,Paid,Check,0,1,1
75,2023-03-02,48,32707,1210,485,2,Paid,Cash,0,5,1
76,2023-03-02,42,32779,395,90,1,Paid,Zelle,0,4,3
77,2023-03-03,55,32765,1725,360,1,Paid,Zelle,0,5,3
78,2023-03-03,28,32836,1770,475,1,Paid,Card,0,5,2
79,2023-03-03,3,32746,145,35,1,Paid,Zelle,0,5,1
80,2023-03-04,60,34786,1470,355,1,Paid,Check,0,5,4
81,2023-03-05,41,32746,1260,365,1,Paid,Zelle,0,5,1
82,2023-03-06,31,32792,80,15,1,Paid,Card,0,5,1
83,2023-03-06,47,32750,1520,240,1,Paid,Check,1,1,3
84,2023-03-07,16,34786,550,155,1,Paid,Zelle,0,3,1
85,2023-03-08,62,32808,320,55,1,Paid,Card,1,5,2
86,2023-03-10,44,32750,180,45,1,Paid,Card,0,4,1
87,2023-03-13,64,32746,3015,1205,2,Paid,Zelle,0,5,1
88,2023-03-13,52,32765,110,30,1,Paid,Zelle,0,4,1
89,2023-03-14,17,32825,1365,175,1,Paid,Zelle,0,4,3
90,2023-03-14,54,32707,820,105,1,Paid,Zelle,0,1,3
91,2023-03-14,15,32825,175,40,1,Paid,Cash,0,5,1
92,2023-03-15,4,32836,180,25,1,Paid,Card,0,3,1
93,2023-03-15,47,32750,1655,660,2,Paid,Zelle,0,5,1
94,2023-03-16,68,32836,1750,370,1,Paid,Check,0,4,1
95,2023-03-17,8,32825,265,55,1,Paid,Zelle,0,5,1
96,2023-03-17,38,32808,1045,235,1,Paid,Cash,0,5,1
97,2023-03-17,32,32765,2380,950,2,Paid,Zelle,0,5,1
98,2023-03-18,39,32746,570,130,1,Paid,Check,0,5,2
99,2023-03-19,56,32714,1180,470,2,Paid,Zelle,0,5,1
100,2023-03-19,27,32792,515,135,1,Paid,Card,0,5,3
101,2023-03-19,56,32714,1785,325,1,Paid,Zelle,0,4,3
102,2023-03-20,45,32779,2405,665,1,Paid,Check,0,5,2
103,2023-03-20,64,32746,1820,730,2,Paid,Zelle,0,4,1
104,2023-03-20,22,32707,1240,240,1,Paid,Cash,0,5,1
105,2023-03-21,13,32836,60,15,1,Paid,Check,0,5,1
106,2023-03-22,47,32750,900,360,2,Paid,Zelle,0,5,1
107,2023-03-22,6,34786,190,40,1,Paid,Card,0,2,1
108,2023-03-22,79,34786,1365,220,1,Paid,Card,0,5,2
109,2023-03-23,33,32746,1590,335,1,Paid,Check,1,5,3
110,2023-03-24,34,32746,1760,195,1,Paid,Zelle,0,5,2
111,2023-03-24,46,32765,105,15,1,Paid,Zelle,1,4,1
112,2023-03-27,72,34786,365,105,1,Paid,Card,0,5,1
113,2023-03-27,29,32792,1875,330,1,Paid,Check,0,3,4
114,2023-03-28,78,32792,155,25,1,Paid,Card,0,5,1
115,2023-03-28,37,32789,575,95,1,Paid,Check,0,5,3
116,2023-03-28,1,32808,1755,275,1,Paid,Zelle,0,5,2
117,2023-03-29,75,32825,1060,140,1,Paid,Zelle,1,5,2
118,2023-03-29,44,32750,965,385,2,Paid,Zelle,0,5,1
119,2023-04-01,41,32746,1130,270,1,Paid,Zelle,0,4,1
120,2023-04-03,84,32836,315,90,1,Paid,Card,0,4,1
121,2023-04-03,79,34786,445,90,1,Paid,Check,0,5,3
122,2023-04-04,65,32789,1240,215,1,Paid,Card,0,4,4
123,2023-04-04,90,34786,315,55,1,Paid,Card,1,4,3
124,2023-04-04,79,34786,420,55,1,Paid,Card,0,5,3
125,2023-04-05,69,34786,340,65,1,Paid,Check,1,5,2
126,2023-04-05,82,32707,60,10,1,Paid,Zelle,0,5,1
127,2023-04-05,20,32825,225,40,1,Paid,Zelle,0,5,1
128,2023-04-06,88,32750,125,15,1,Paid,Zelle,0,5,1
129,2023-04-06,12,32825,190,30,1,Paid,Cash,0,5,2
130,2023-04-06,12,32825,70,10,1,Paid,Cash,0,5,1
131,2023-04-07,2,32750,900,360,2,Paid,Zelle,0,4,1
132,2023-04-08,35,32779,2360,945,2,Paid,Check,0,4,1
133,2023-04-08,49,32792,895,120,1,Paid,Check,0,5,1
134,2023-04-09,85,32792,410,55,1,Paid,Card,0,5,1
135,2023-04-09,35,32779,2425,970,2,Paid,Cash,0,5,1
136,2023-04-09,71,32789,345,65,1,Paid,Check,0,5,1
137,2023-04-10,58,32746,900,360,2,Paid,Zelle,0,1,1
138,2023-04-10,101,32836,1935,360,1,Paid,Card,0,5,2
139,2023-04-11,45,32779,735,85,1,Paid,Cash,0,4,1
140,2023-04-12,81,32714,1055,235,1,Paid,Card,0,5,2
141,2023-04-12,50,32714,85,15,1,Paid,Zelle,0,5,1
142,2023-04-12,81,32714,380,110,1,Paid,Zelle,0,5,2
143,2023-04-13,57,32707,195,25,1,Paid,Zelle,0,5,1
144,2023-04-15,63,32825,475,85,1,Paid,Cash,1,2,3
145,2023-04-15,43,34786,630,110,1,Paid,Card,1,5,3
